Team,Season,Wins,Losses,Percentage,ORtg,DRtg
SAS,2004-05,59,23,0.72,107.5,98.8
TOR,2015-16,56,26,0.683,110,105.2
TOR,2014-15,49,33,0.598,111,107.7
TOR,2013-14,48,34,0.585,108.8,105.3
TOR,2012-13,34,48,0.415,105.9,107.5
TOR,2011-12,23,43,0.348,100.8,104.5
TOR,2010-11,22,60,0.268,106.1,112.9
TOR,2009-10,40,42,0.488,111.3,113.2
TOR,2008-09,33,49,0.402,107,110
TOR,2007-08,41,41,0.5,110.2,107
TOR,2006-07,47,35,0.573,107,106
TOR,2005-06,27,55,0.329,109.5,112.7
TOR,2004-05,33,49,0.402,106.9,108.7
UTA,2015-16,40,42,0.488,105.9,103.9
UTA,2014-15,38,44,0.463,105.1,104.9
UTA,2013-14,25,57,0.305,103.5,111.3
UTA,2012-13,43,39,0.524,106.7,106.8
UTA,2011-12,36,30,0.545,106.8,106.1
UTA,2010-11,39,43,0.476,108.1,110.1
UTA,2009-10,53,29,0.646,110.7,105
UTA,2008-09,48,34,0.585,110.1,107.3
UTA,2007-08,54,28,0.659,113.8,106.5
UTA,2006-07,51,31,0.622,110.1,107
UTA,2005-06,41,41,0.5,104.1,107
UTA,2004-05,26,56,0.317,104.7,109.5
WAS,2015-16,41,41,0.5,105.3,105.8
WAS,2014-15,46,36,0.561,103.7,103
WAS,2013-14,44,38,0.537,106,104.6
WAS,2012-13,29,53,0.354,100.2,103
WAS,2011-12,20,46,0.303,101,106.2
WAS,2010-11,23,59,0.28,102.4,110.2
WAS,2009-10,26,56,0.317,104.2,109.4
WAS,2008-09,19,63,0.232,105.4,113.6
WAS,2007-08,43,39,0.524,109.2,109.6
WAS,2006-07,41,41,0.5,110.1,110.6
WAS,2005-06,42,40,0.512,109.3,107.3
WAS,2004-05,45,37,0.549,107.2,107.5
